Date,Price,Open,High,Low,Vol.,Change %
2026-01-05 00:00:00.000000,26250.3,26333.7,26373.2,26210.05,338780000.0,-0.3
2026-01-06 00:00:00.000000,26178.7,26189.7,26273.95,26124.75,383040000.0,-0.27
2026-01-07 00:00:00.000000,26140.75,26143.1,26187.15,26067.9,338220000.0,-0.14
2026-01-08 00:00:00.000000,25876.85,26106.5,26133.2,25858.45,328520000.0,-1.01
2026-01-09 00:00:00.000000,25683.3,25840.4,25940.6,25623.0,348760000.0,-0.75
2026-01-12 00:00:00.000000,25790.25,25669.05,25813.15,25473.4,275760000.0,0.42
2026-01-13 00:00:00.000000,25732.3,25897.35,25899.8,25603.3,339540000.0,-0.22
2026-01-14 00:00:00.000000,25665.6,25648.55,25791.75,25603.95,393130000.0,-0.26
2026-01-16 00:00:00.000000,25694.35,25696.05,25873.5,25662.4,434040000.0,0.11
2026-01-19 00:00:00.000000,25585.5,25653.1,25653.3,25494.35,443090000.0,-0.42
2026-01-20 00:00:00.000000,25232.5,25580.3,25585.0,25171.35,409770000.0,-1.38
2026-01-21 00:00:00.000000,25157.5,25141.0,25300.95,24919.8,395620000.0,-0.3
2026-01-22 00:00:00.000000,25289.9,25344.15,25435.75,25168.5,486400000.0,0.53
2026-01-23 00:00:00.000000,25048.65,25344.6,25347.95,25025.3,393940000.0,-0.95
2026-01-27 00:00:00.000000,25175.4,25063.35,25246.65,24932.55,618700000.0,0.51
2026-01-28 00:00:00.000000,25342.75,25258.85,25372.1,25187.65,574900000.0,0.66
2026-01-29 00:00:00.000000,25418.9,25345.0,25458.15,25159.8,582390000.0,0.3
2026-01-30 00:00:00.000000,25320.65,25247.55,25370.7,25213.65,508390000.0,-0.39
2026-02-01 00:00:00.000000,24825.45,25333.75,25440.9,24571.75,379370000.0,-1.96
2026-02-02 00:00:00.000000,25088.4,24796.5,25108.1,24679.4,449220000.0,1.06
2026-02-03 00:00:00.000000,25727.55,26308.05,26341.2,25641.3,637260000.0,2.55
2026-02-04 00:00:00.000000,25776.0,25675.05,25818.55,25563.95,429790000.0,0.19
2026-02-05 00:00:00.000000,25642.8,25755.9,25757.65,25579.5,343810000.0,-0.52
2026-02-06 00:00:00.000000,25693.7,25605.8,25703.95,25491.9,375480000.0,0.2
2026-02-09 00:00:00.000000,25867.3,25888.7,25922.25,25780.9,359390000.0,0.68
2026-02-10 00:00:00.000000,25935.15,25922.65,25989.45,25870.45,460880000.0,0.26
2026-02-11 00:00:00.000000,25953.85,25997.45,26009.4,25899.8,331390000.0,0.07
2026-02-12 00:00:00.000000,25807.2,25906.7,25906.7,25752.4,419390000.0,-0.57
2026-02-13 00:00:00.000000,25471.1,25571.15,25630.35,25444.3,453520000.0,-1.3
2026-02-16 00:00:00.000000,25682.75,25423.6,25697.0,25372.7,275770000.0,0.83
2026-02-17 00:00:00.000000,25725.4,25637.95,25764.4,25570.3,344120000.0,0.17
2026-02-18 00:00:00.000000,25819.35,25752.65,25828.05,25645.15,310230000.0,0.37
2026-02-19 00:00:00.000000,25454.35,25873.35,25885.3,25388.75,298230000.0,-1.41
2026-02-20 00:00:00.000000,25571.25,25406.55,25663.55,25379.75,296580000.0,0.46
2026-02-23 00:00:00.000000,25713.0,25678.4,25771.45,25609.35,313680000.0,0.55
2026-02-24 00:00:00.000000,25424.65,25641.8,25641.8,25328.5,439070000.0,-1.12
2026-02-25 00:00:00.000000,25482.5,25512.6,25651.6,25428.45,414210000.0,0.23
2026-02-25 18:49:14.803630,25428.5,25512.6,25652.6,25428.2,414210000.0,-0.2119101344059648
2026-02-25 18:54:22.909430,25428.5,25512.6,25652.6,25428.2,414210000.0,0.0
